shoe_name,goat_price,stockx_low_price,stockx_high_price,low_profit,high_profit
Yeezy 500 'Utility Black',440,-1,-1,0,0
Zoom Kobe 5 Protro 'Big Stage',320,-1,-1,0,0
Off-White x Air Presto 'Black',719,-1,-1,0,0
Dunk Low Retro SP 'Kentucky',480,-1,-1,0,0
Wmns Air Force 1 '07 'White',85,-1,-1,0,0
Yeezy Season 7 Desert Boot 'House Blue',231,-1,-1,0,0
Dunk Low Retro 'Samba' 2020,206,-1,-1,0,0
Pharrell x NMD Human Race 'Sesame',289,-1,-1,0,0
Air Jordan 11 Retro 'Gamma Blue',500,-1,-1,0,0
Supreme x Louis Vuitton x Red Ribbon Recon x A...,30000,-1,-1,0,0
Zoom Kobe 5 Protro 'P.J. Tucker' PE,250,-1,-1,0,0
Air Jordan 1 Mid 'Black Hyper Royal',174,-1,-1,0,0
Off-White x Wmns Vapor Street 'Laser Fuchsia',130,-1,-1,0,0
Air Max Trainer 3 'Dracula',178,-1,-1,0,0
Air Jordan 5 Retro SP 'Michigan',125,-1,-1,0,0
Air Jordan 1 Retro High SB 'LA To Chicago',451,-1,-1,0,0
Dunk Low Pro SB 'Crater',175,-1,-1,0,0
Wmns Air Jordan 1 Zoom Comfort SE 'Sisterhood',170,-1,-1,0,0
LeBron 18 'Sisterhood',268,-1,-1,0,0
StrangeLove x Dunk Low SB 'Valentine's Day',960,-1,-1,0,0
Comme des Garçons x Air Force 1 Low '07 'Blue ...,360,-1,-1,0,0
Air Jordan 4 Winter 'Loyal Blue',210,-1,-1,0,0
Air Jordan 1 Retro High OG BG 'Shattered Backb...,318,-1,-1,0,0
Air Jordan 1 High Zoom 'Zen Green',175,-1,-1,0,0
Air Jordan 3 Retro 'White Cement' 2011,450,-1,-1,0,0
Off-White x Air Force 1 Low 'Volt',803,-1,-1,0,0
Air Jordan 1 Retro High OG 'UNC',550,-1,-1,0,0
Air Jordan 1 Retro High OG 'Origin Story',575,-1,-1,0,0
Air Jordan 6 Retro 'Hare',194,-1,-1,0,0
Air Jordan 3 Retro SE 'Unite - CHI Exclusive',155,-1,-1,0,0
Sean Wotherspoon x Air Max 1/97 'Sean Wotherspoon',915,-1,-1,0,0
Yeezy 700 V3 'Azael',674,-1,-1,0,0
Pharrell x NMD Human Race 'Extra Eye - Bold Or...,199,-1,-1,0,0
Air Jordan 4 Retro 'Orange Metallic',244,-1,-1,0,0
Air Jordan 11 Retro GS 'Concord' 2018,175,-1,-1,0,0
Yeezy 500 'Bone White',276,-1,-1,0,0
Air Jordan 1 Retro High OG PS 'Tie-Dye',79,-1,-1,0,0
Fragment Design x Air Jordan 35 'Base Grey',350,-1,-1,0,0
Off-White x Air Presto 'White',610,-1,-1,0,0
Aimé Leon Dore x 550 'Silver',320,-1,-1,0,0
Air Jordan 11 Retro Low 'Navy Snakeskin' 2019,114,-1,-1,0,0
Dunk Low SP 'Brazil' 2020,275,-1,-1,0,0
Off-White x Air VaporMax 'Part 2',620,-1,-1,0,0
Off-White x Air Force 1 Low '07 'MoMA',2899,-1,-1,0,0
Yeezy Boost 380 'Blue Oat Non-Reflective',209,-1,-1,0,0
Air Jordan 5 Retro GS 'Alternate Bel-Air',120,-1,-1,0,0
Air Jordan 1 Low 'Black Toe',245,-1,-1,0,0
Air Jordan 4 Retro 'Alternate 89',150,-1,-1,0,0
Dunk Low SB 'J-Pack Chicago',500,-1,-1,0,0
Yeezy Boost 700 V2 'Hospital Blue',344,-1,-1,0,0
Air Jordan 11 Retro 'Cool Grey' 2010,450,-1,-1,0,0
Air Force 1 Low QS 'Skeleton',375,-1,-1,0,0
